id,question,answer,option1,option2,option3,option4,correctIndex
1,Is it possible to restrict an admin user to restrict initialization & update process?,"2. Yes, by locking the Initialization & Update even an admin user can be restricted from running the initialization & update process.","No, admin user cannot be restricted. Only other hac users can be restricted by locking the initialization & update process.","Yes, by locking the Initialization & Update even an admin user can be restricted from running the initialization & update process.",,,1
2,OCC uses a standard OAuth2 protocol for authentication and authorization.,1. True,True,False,,,0
3,Select the right definition for the facade layer,1,Hides the complexities of the system and provides a simplified interface to the client,Separates application's concerns,Builds a complex object using simple objects and using a step by step approach,Add new functionality to an existing object without altering its structure,0
4,What is the behaviour if error occurs during express checkout?,2. The user is redirected to the cart page and express checkout is disabled for the user,The user is redirected to express checkout error page,The user is redirected to the cart page and express checkout is disabled for the user,it falls back to the default multi-step checkout behaviour,Error is ignored and Order is created from backoffice error field can be corrected later,1
5,What is the default authorization framework for the OCC web services ?,OAuth 2.0.,Java Security,Single Sign On (SSO),Spring Security,Oauth 2.0,3
6,when designing a new web service what HTTP header should you choose to implement a create object endpoint ?,POST.,CREATE,GET,PUT,POST,3
7,"When writing unit tests how should you simulate pojo dependencies to external services, facades... ?",use Mockito to stub dependencies.,wrap all tests inside a transaction,the test class should extend ServicelayerTest,use Mockito to stub dependencies,the test class should extend HybrisUnitTests,2
8,Which save cart operations are not supported in OCC?,3. Assign save cart to another customer,Save specific cart IDs,Clone saved carts,Assign save cart to another customer,Displav a list of saved carts,2
9,By pressing which key we can go to application mode in backoffice?,1F4,F4,Ctrl+F4,Ctrl+F5,F5,0
10,Hot Folders Data import is provided by yacceleratorcockpits extension.,1. True,True,False,,,0
11,How to you access the backoffice orchestrator ?,none of the above.,Login as an admin into the hmc and open the orchestrator perspective,Login as an admin into the hac and open the orchestrator tab,none of the above,Login as an admin into the backoffice and open the orchestrator perspective,2
12,In a widget zul file what slot(s) can you use to embed another widget ?,<widgetslot .../.,<widgetslot .../,<widgetchild .../,<widget .../,<widgetchildren .../,0
13,"In Customer Support Session Context Widget, which of the following cases will automatically close an active session?","1, 3, 5",A ticket is selected from the ticket list and customer has been changed.,A customer is selected from the customer list,An order is selected from the order list and customer has been changed.,"When an agent clicks on the ""Start Call"" button.",0
14,The CS cockpit was designed for ?,4,customer security management,css rendering management,customer segment management,order life cycles management,3
15,"Using which component, Widgets in backoffice communicate with each other?",3. Socket,Controller,View,Socket,Connection,2
16,"When connecting two widgets through a socket, what statements are true ?","the data type must be serializable and output and input must be compatible (String-String, Integer-Number).",the data type must be serializable,output and input must be of the same class,"output and input must be compatible (String-String, Integer-Number)",you can't mix virtual and non virtual socket,0
17,Which of the following operations can be done from the CS cockpit?,2. Place order for user 5. Cancel order,User registration,Place order for user,Add credit card for user,Edit cart,1
18,A web page can be associated with multiple content slots in SAP Commerce.,1. True,True,False,,,0
19,Content slots for page template are ?,1,Place holder for CMS component,Shared across all pages using the page template,Place holder for JSP tags,Configured on the JSP view page,0
20,"For the following query to be imported successfully what changes need to be done ? $productCatalog=apparelProductCatalog $productCatalogName=Apparel Product Catalog INSERTUPDATE ApparelProduct;code;$catalogVersion;unit(code); supercategories(code,$catalogVersion) ;300441142;;pieces;Blue Tomato,caps","1, 2",Mark code with [unique=true],Change the attribute header INSERTUPDATE to INSERTUNIQUE,Add a macro for catalog version,Use the type Product instead of ApparelProduct,0
21,In which of the following modes. A smartedit user can Syncronize page and non-shared content slots,3. advanced edit mode 5. update mode,Basic mode,Preview mode,advanced edit mode,Change mode,2
22,What statements are false about catalogs synchronization ?,"2, 3, 4",The same catalog can a target and a source,No items can be deleted,All item types are being synchronized,Only existing items can be updated,1
