court,slot,name,updatedAt,receipt
"Court 1","1","","2026-09-09T09:03:39.378Z",""
"Court 1","2","","2026-09-09T09:03:39.378Z",""
"Court 1","3","","2026-09-09T09:03:39.378Z",""
"Court 1","4","","2026-09-09T09:03:39.378Z",""
"Court 1","5","","2026-09-09T09:03:39.378Z",""
"Court 1","6","","2026-09-09T09:03:39.378Z",""
"Court 1","7","","2026-09-09T09:03:39.378Z",""
"Court 1","8","","2026-09-09T09:03:39.378Z",""
"Court 2","1","","2026-09-09T09:03:39.378Z",""
"Court 2","2","","2026-09-09T09:03:39.378Z",""
"Court 2","3","","2026-09-09T09:03:39.378Z",""
"Court 2","4","","2026-09-09T09:03:39.378Z",""
"Court 2","5","","2026-09-09T09:03:39.378Z",""
"Court 2","6","","2026-09-09T09:03:39.378Z",""
"Court 2","7","","2026-09-09T09:03:39.378Z",""
"Court 2","8","","2026-09-09T09:03:39.378Z",""
"Court 3","1","","2026-09-09T09:03:39.378Z",""
"Court 3","2","","2026-09-09T09:03:39.378Z",""
"Court 3","3","","2026-09-09T09:03:39.378Z",""
"Court 3","4","","2026-09-09T09:03:39.378Z",""
"Court 3","5","","2026-09-09T09:03:39.378Z",""
"Court 3","6","","2026-09-09T09:03:39.378Z",""
"Court 3","7","","2026-09-09T09:03:39.378Z",""
"Court 3","8","","2026-09-09T09:03:39.378Z",""
